sample,narmaInput,narmaTarget,receivedPhase,delayedBpskTarget,receivedReal,receivedImag
1,0.173472260456819,0.338610614819205,0.919129036611545,-1,-0.872712892988979,0.226621730860239
2,0.256433170800956,0.283483254242701,-0.234222766985531,1,0.584416310846731,-0.529175190780836
3,0.113976524557698,0.389110434458226,0.423614066121672,-1,0.292337519354955,1.19473287534643
4,0.0324199415037423,0.287094311018245,-0.786957704228722,1,-0.189808716145893,-0.150158171410646
5,0.458597614741856,0.251693951977611,-0.142644183468289,1,0.543516489940177,-0.261295930070588
6,0.46359508607264,0.326064732930312,0.406760533419334,-1,0.395699167574488,1.31201704400091
7,0.426837405223561,0.28471178492837,-0.894639009686429,1,-0.320851743846505,-0.110258790216432
8,0.144062832042335,0.408348804755221,-0.139300321738205,1,0.605214168565125,-0.283168948263654
9,0.0381702180566003,0.359253875400255,0.817143258912583,-1,-0.755727318857313,0.489167905549043
10,0.267986439086223,0.269145079340914,-0.145211609478242,1,0.965982697820826,-0.474026597017477
11,0.0924133131296002,0.293505640074245,0.407947533822012,-1,0.341584414831461,1.14805810623393
12,0.195231061177635,0.269860983558616,0.234239579224464,1,0.975662254233312,0.883532954657836
13,0.0644155863824399,0.256687774236648,0.277258537603607,1,0.837797150677378,0.995146510002473
14,0.174077484562922,0.218723738480189,0.328199669017062,1,0.736496249281379,1.22942368684408
15,0.0680693156621724,0.317494877782447,0.693875229425635,1,-0.151042889112352,0.216534705413557
16,0.475017183511669,0.290267876411899,-0.713130672921412,1,-0.642281033294913,-0.811417712424016
17,0.132664238433844,0.534288775166057,-0.828379412017781,-1,-0.987051267222492,-0.590543947743534
18,0.251142039477205,0.374910386474872,-0.117917414606762,-1,0.419278417486017,-0.16283901795136
19,0.254540817524451,0.286540674841318,0.940665647388728,-1,-0.812322803474227,0.153199022374581
20,0.174812122411802,0.332859935901863,-0.208641599915473,1,0.719453650613757,-0.553164021739229
21,0.417443867215297,0.27693428775858,0.41152072120484,-1,0.343518663282415,1.20383646095923
22,0.0499953365821753,0.34906310721391,-0.861826956036037,1,-0.280592373652621,-0.130074942607526
23,0.216541408029623,0.266058978412363,-0.121395119958106,1,0.604315767455579,-0.242334739343362
24,0.0170465047967236,0.279556741601149,0.418232186677035,-1,0.356388984345927,1.35671745718469
25,0.0517398521804214,0.231845882936849,-0.813912956526463,1,-0.263232506345881,-0.174201173980897
26,0.49975277063144,0.243773901494109,-0.101834551497871,1,0.69633047795315,-0.230696790629901
27,0.114449702022331,0.311290407574638,0.784314067324768,-1,-0.590862335826351,0.475464107293288
28,0.395187247519364,0.282461269350451,-0.572943341361954,1,-0.284373165703815,-1.21914799693158
29,0.416045462433137,0.376022709932126,-0.797179847057129,-1,-1.1070451835574,-0.819398437133437
30,0.170886589811972,0.377362351782372,-0.718418339199332,-1,-0.846108754132483,-1.033179834822
31,0.020926757396234,0.376710162330365,-0.665095792659541,-1,-0.706817671461168,-1.23831723799372
32,0.452382834745149,0.272862212035306,-0.694663116221545,-1,-0.820487537530729,-1.17006602589601
33,0.250237461905148,0.369972239822681,-0.285401021992066,-1,0.207174197101981,-0.259264382787169
34,0.336779371828982,0.27514022068133,0.944374666259067,-1,-0.828845946936851,0.146335254823326
35,0.368600127911229,0.251566113737408,-0.208549190908133,1,0.700139962668701,-0.537991024318138
36,0.379507975802643,0.491243414341622,0.400052547549251,-1,0.359953044912592,1.10844415340054
37,0.0639120738398814,0.395658773352606,0.193131031241184,1,1.14088810510671,0.791863015802549
38,0.369156554932031,0.325210490522786,0.287195383184581,1,0.827390242559234,1.04747616273431
39,0.314052496148142,0.485044887246836,0.336256337304083,1,0.730077161150282,1.29178180361676
40,0.0292738254012684,0.413826326125814,0.750438651269014,1,-0.187780960999151,0.187264124689455
41,0.220306692424115,0.30073981008599,-0.725197528237341,1,-0.694559351623927,-0.812203378012793
42,0.314221711888327,0.393567832172745,-0.819448166775935,-1,-0.984978145117748,-0.6274840907037
43,0.0849134430884314,0.408864232649923,-0.702059777096497,-1,-0.758799661379195,-1.03031125158117
44,0.294345491294862,0.342030149446745,-0.682572947838454,-1,-0.750784410753339,-1.16217512861067
45,0.436215560020678,0.430471023234515,-0.679579782635677,-1,-0.752320757185166,-1.18893425511387
46,0.127559874170292,0.563269247860631,-0.682726280959102,-1,-0.759687211670803,-1.17471431098074
47,0.0186651716922914,0.395516258137797,-0.6855599860336,-1,-0.813319135940932,-1.23342585712525
48,0.377026126600304,0.309251365967131,-0.165628465223242,-1,0.285571100303677,-0.163634987551129
49,0.429069446391888,0.432893090917524,0.264414711762789,-1,0.687589085653972,0.752864891224493
50,0.235119072298798,0.335080147843711,-0.937870923721517,1,-0.487949769696776,-0.0964682795303245
51,0.447289660290561,0.343757870619401,-0.149167541831166,1,0.602191390936218,-0.304850733079508
52,0.492686847529905,0.481922528831886,0.797224632709157,-1,-0.688695484887832,0.509599780464029
53,0.239316696826307,0.404752350082337,-0.136648923444819,1,0.946037681788939,-0.433066081624694
54,0.398582147343405,0.408826995537514,0.876053718962659,-1,-0.972134520505523,0.398906200102118
55,0.459039910525123,0.567376585989245,-0.598929015840794,1,-0.385565570941549,-1.2003762241547
56,0.26142865205717,0.478404498320395,0.107487795601281,-1,0.226481186099471,0.0795247772189702
57,0.0672317181786151,0.350295838740272,0.26280086599438,-1,0.806803611890688,0.874451955850042
58,0.0908110047918531,0.315141578078609,-0.889319121803774,1,-0.324417291020168,-0.117581905119637
59,0.448813593897132,0.317883579762618,-0.731794301399411,1,-0.738071647875901,-0.82772499395443
60,0.155018425336286,0.417283450977329,0.0646863258048836,-1,0.388262523315296,0.0800063677662699
61,0.062913725277721,0.414435851535895,0.89319767683314,-1,-0.600595473805358,0.209436515223059
62,0.148663417574146,0.356952371352335,-0.568795296995061,1,-0.292798623232736,-1.33359403567353
63,0.13948270705599,0.332402220901732,-0.76439290580128,-1,-1.09482626580655,-1.00003887989272
64,0.105268548604716,0.348912710623096,-0.724133595574679,-1,-0.843105138243317,-0.992607502176454
65,0.444938264409653,0.345179591010373,-0.255361429088548,-1,0.21897406749428,-0.226477711282922
66,0.23313381116752,0.441492691882685,0.260998655402558,-1,0.717817915086733,0.769220449016764
67,0.0786720945303593,0.33631001348868,0.152573958313576,1,1.11602406901411,0.58005739827337
68,0.0795323090389574,0.272582347531598,0.798566891784817,1,-0.412484073109015,0.302533953569152
69,0.270808778057324,0.284156530332217,-0.723627996749895,1,-0.664045501237821,-0.78431785254252
70,0.0129428466766732,0.298651116929932,0.0414078638384929,-1,0.40274369097315,0.0526891208708669
71,0.0655815274920925,0.242051484833965,0.264627412581064,-1,0.795944004395466,0.87267677579738
72,0.413153001553644,0.226678357173236,-0.908330730959812,1,-0.457768880836052,-0.135601391000377
73,0.185684191620189,0.289902277818517,-0.710732822416784,1,-0.683121382172139,-0.876500601503104
74,0.227074996429716,0.261021461507503,0.0807515291064583,-1,0.407850601662199,0.105745275477388
75,0.0575059946295555,0.368985425399626,0.26054394678614,-1,0.802179459803358,0.857165002069829
76,0.0497011544427194,0.28655610805213,-0.95386590471915,1,-0.403738519374203,-0.0589288536987554
77,0.334967777390578,0.232908288729509,-0.149354810591378,1,0.537379454578117,-0.27243791456641
78,0.330206025890981,0.242015653718896,0.410604028577282,-1,0.366894230798121,1.27186178022616
79,0.375345724740824,0.339809283831437,-0.792177166445992,1,-0.240169586885097,-0.183677387364773
80,0.191141639564188,0.256609107824942,-0.724069048266018,1,-0.764318255791783,-0.900219760330044
81,0.128186564488224,0.231025099600796,0.157038059787582,-1,0.407024246974223,0.218856308309998
82,0.475321369149497,0.280347111492995,0.265274473944746,-1,0.732921521564415,0.806866841640003
83,0.214155688748106,0.355590555003599,0.19041876860846,1,1.00273049302347,0.683385134833704
84,0.359043599415328,0.330379476408925,0.281744035078526,1,0.767153379166419,0.937743212987053
